region,ticker,display_ticker,company,industry_model_class,valuation_basis,current_multiple,own_history_mid,peer_history_mid,fair_mid,fair_low,fair_high,valuation_gap_pct,history_months,data_status,note
US,AMZN,AMZN,Amazon,軟體 / IP / 平台型,Forward PE,27.443575,,31.703392,31.703392,25.507651,71.06268,-0.134365,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,MSFT,MSFT,Microsoft,軟體 / IP / 平台型,Forward PE,23.28298,,31.703392,31.703392,25.507651,71.06268,-0.2656,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,GOOGL,GOOGL,Alphabet,軟體 / IP / 平台型,Forward PE,26.249208,,31.703392,31.703392,25.507651,71.06268,-0.172038,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,META,META,Meta,軟體 / IP / 平台型,Forward PE,17.490955,,31.703392,31.703392,25.507651,71.06268,-0.448294,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,ORCL,ORCL,Oracle,軟體 / IP / 平台型,Forward PE,28.108276,,31.703392,31.703392,25.507651,71.06268,-0.113398,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,IBM,IBM,IBM,軟體 / IP / 平台型,Forward PE,22.133545,,31.703392,31.703392,25.507651,71.06268,-0.301856,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,CRWV,CRWV,CoreWeave,軟體 / IP / 平台型,Forward PE,-174.68343,,31.703392,31.703392,25.507651,71.06268,-6.509929,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,NBIS,NBIS,Nebius,軟體 / IP / 平台型,Forward PE,639.7486,,31.703392,31.703392,25.507651,71.06268,19.179185,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,APLD,APLD,Applied Digital,軟體 / IP / 平台型,Forward PE,-49.76842,,31.703392,31.703392,25.507651,71.06268,-2.569814,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,EQIX,EQIX,Equinix,軟體 / IP / 平台型,Forward PE,55.559574,,31.703392,31.703392,25.507651,71.06268,0.75248,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,DLR,DLR,Digital Realty,軟體 / IP / 平台型,Forward PE,66.33754,,31.703392,31.703392,25.507651,71.06268,1.092443,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,CORZ,CORZ,Core Scientific,軟體 / IP / 平台型,Forward PE,85.2381,,31.703392,31.703392,25.507651,71.06268,1.688611,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,IREN,IREN,IREN,軟體 / IP / 平台型,Forward PE,-67.59575,,31.703392,31.703392,25.507651,71.06268,-3.13213,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,WULF,WULF,TeraWulf,軟體 / IP / 平台型,Forward PE,138.16216,,31.703392,31.703392,25.507651,71.06268,3.357961,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,CIFR,CIFR,Cipher Mining,軟體 / IP / 平台型,Forward PE,35.298508,,31.703392,31.703392,25.507651,71.06268,0.113398,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
